,App,Size,Price,user_rating,Ratings,cont_rating,Genre,language
148,10 Pin Shuffle Pro Bowling,36647936,3.99,7315,4.0,4+,Games,6
149,Sky News,91697152,0.0,118,3.0,12+,News,1
150,"ESPN: Get scores, news, alerts & watch live sports",51538944,0.0,290996,3.5,4+,Sports,2
151,LiveATC Air Radio,8302592,3.99,2785,4.0,4+,Travel,26
152,The Sims 3,430128128,6.99,54408,3.5,12+,Games,8
153,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,9.99,8138,4.0,4+,Games,13
154,Guess My Age  Math Magic,767126,0.0,123190,3.0,4+,Education,1
155,Crush the Castle,12996628,0.99,23810,3.5,12+,Games,1
156,2016 U.S. Open Golf Championship,139545600,0.0,54192,4.0,4+,Sports,1
157,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,0.0,20953,4.0,4+,Sports,1
158,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,9.99,71609,4.5,12+,Music,14
159,NBC News,52951040,0.0,32881,3.5,12+,News,1
160,"Grindr - Gay and same sex guys chat, meet and date",80409600,0.0,23201,2.5,17+,Social Networking,5
161,Whole Foods Market,137312256,0.0,17906,3.0,4+,Shopping,1
162,NAVIGON Europe,144412672,74.99,927,3.5,4+,Navigation,21
163,Virtual Families,27746273,1.99,18920,3.5,9+,Games,1
164,Sparkasse+,119648256,0.99,30,3.0,4+,Finance,3
165,Sparkasse - Your mobile branch,119574528,0.0,77,3.0,4+,Finance,3
166,Sleep Cycle alarm clock,79315968,0.0,104539,4.5,4+,Health & Fitness,13
167,FACEinHOLE®,12818432,0.99,4016,4.0,12+,Photo & Video,1
168,Harvest - Select the Best Produce,18165760,1.99,299,4.0,4+,Food & Drink,1
169,WORMS,253834240,1.99,5758,4.0,12+,Games,1
170,Pixel Starships™ : 8Bit MMORPG,69083136,0.0,5565,4.5,9+,Games,17
171,Traffic Rush,8573952,0.99,213092,3.5,9+,Games,1
172,MyRadar NOAA Weather Radar Forecast,127284224,0.0,150158,4.5,4+,Weather,8
173,Resident Evil 4: PLATINUM,81374398,4.99,6046,4.0,12+,Games,1
174,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,0.0,345046,4.5,4+,Navigation,36
175,Cartoon Wars,13216994,0.99,35930,3.5,12+,Games,1
176,Moto X Mayhem,21010210,0.99,22557,4.0,4+,Games,1
177,Fantasy Football Manager - FFM for FPL,35998720,0.99,292,3.0,17+,Sports,1
178,Spotify Music,132510720,0.0,878563,4.5,12+,Music,18
179,McDo France,37001216,0.0,22,3.5,4+,Food & Drink,30
180,PGA Championship 2016 – Baltusrol Golf Club,64147456,0.0,10472,3.5,17+,Sports,1
181,BFMTV : l'info en continu,100779008,0.0,115,4.0,17+,News,1
182,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,1.99,13915,4.5,4+,Weather,8
183,Spider:  The Secret of Bryce Manor,126312448,1.99,6780,4.0,9+,Games,5
184,My Measures PRO,79882240,7.99,1701,4.0,4+,Productivity,21
185,Food Additives Checker (E Numbers),6418432,1.99,6,3.5,4+,Health & Fitness,8
186,SFR Mon Compte,74093568,0.0,19,3.0,4+,Utilities,1
187,Baby Connect (Activity Log),12937216,4.99,3483,4.5,4+,Medical,14
188,Epson iPrint,53388288,0.0,2838,3.0,4+,Photo & Video,12
189,Mad Libs,118498304,0.0,117889,3.0,4+,Entertainment,1
190,BATTLE BEARS: Zombies!,103197675,0.99,50710,3.5,9+,Games,1
191,Hurricane Tracker,24574976,2.99,3960,4.5,4+,Weather,1
192,NFL Sunday Ticket,96093184,0.0,24258,3.0,4+,Entertainment,1
193,2016 US Open Tennis Championships,77700096,0.0,37522,4.0,4+,Sports,1
194,Dropbox,180804608,0.0,49578,3.5,4+,Productivity,20
195,Wa Kingyo - Goldfish Pond,56397824,0.99,626,4.0,4+,Entertainment,2
196,Monkey Preschool Lunchbox,229272576,1.99,9286,4.0,4+,Games,1
197,Yahoo Fantasy Sports,131000320,0.0,190670,3.5,17+,Sports,45
198,Gaia GPS Classic,53097472,19.99,2429,4.5,4+,Navigation,16
199,iLoan Calc (Loan calculator),3375104,3.99,0,0.0,4+,Finance,3
200,Geocaching®,108166144,0.0,12811,3.5,4+,Navigation,22
201,Camera+,89187328,1.99,32338,4.0,4+,Photo & Video,10
202,Alter Ego,13647872,4.99,262,4.0,12+,Games,1
203,Parking Mania,123544576,0.99,9657,4.5,4+,Games,12
204,Sudoku⁺,1608704,2.99,18332,4.5,4+,Games,2
205,Period Tracker Lite,50169856,0.0,53620,4.0,12+,Health & Fitness,15
206,Camera Plus: For Macro Photos & Remote Photography,101181440,0.99,38533,2.5,4+,Photo & Video,11
207,The perfect Egg timer,15329280,0.99,40,3.5,4+,Food & Drink,7
208,Letter Quiz - alphabet tracing for kids,31845376,1.99,472,4.0,4+,Games,1
209,Starbucks,135032832,0.0,303856,4.5,4+,Food & Drink,2
210,央视影音-海量央视内容高清直播,54648832,0.0,2070,2.5,4+,Sports,1
211,Bloons TD,8432232,2.99,7941,4.0,4+,Games,1
212,Weight Watchers,230720512,0.0,136833,3.5,12+,Health & Fitness,6
213,"CNN: Breaking US & World News, Live Video",80211968,0.0,112886,3.5,12+,News,1
214,Gilt,148201472,0.0,26353,3.5,4+,Shopping,2
215,TRUTH or DARE!!! - FREE,20795392,0.0,171055,3.0,12+,Entertainment,1
216,Canabalt,27934720,2.99,4540,4.0,9+,Games,15
217,Alipay - Makes Life Easy,208309248,0.0,1926,3.0,4+,Lifestyle,3
218,Scanner911 Pro,33812480,3.99,14345,4.0,12+,News,1
219,Daily Teachings,20298752,4.99,1340,4.5,4+,Lifestyle,1
220,Scanner Pro - PDF document scanner app with OCR,101346304,3.99,31912,4.5,4+,Business,9
221,Twitter,210569216,0.0,354058,3.5,17+,News,33
222,"Trainline UK: Live Train Times, Tickets & Planner",110198784,0.0,248,4.0,4+,Travel,1
223,CBS News - Watch Free Live Breaking News,78047232,0.0,11691,3.5,12+,News,1
224,iOvilus,9946112,1.99,381,3.0,12+,Entertainment,1
225,The Impossible Quiz!,44652544,0.0,18884,4.0,9+,Entertainment,1
226,WolframAlpha,30369792,2.99,7410,4.0,9+,Reference,1
227,Catan,376171520,1.99,15175,4.0,4+,Games,6
228,ScanBizCards Business Card Reader,96815104,0.99,3166,4.0,4+,Business,5
229,"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,0.0,88885,4.5,12+,Shopping,1
230,King of Dragon Pass,364490752,9.99,882,5.0,12+,Games,1
231,Stylebook,44135424,3.99,1729,4.0,17+,Lifestyle,3
232,NBA,112074752,0.0,43682,3.5,4+,Sports,1
233,Blower,98942976,0.99,861,2.0,4+,Entertainment,1
234,My Cycles Period and Ovulation Tracker,77686784,0.0,7469,3.5,12+,Health & Fitness,2
235,"Kmart – Download Now, Shop Online & Pick Up Today!",94496768,0.0,4186,3.5,4+,Shopping,1
236,优酷视频,204959744,0.0,4885,3.5,12+,Entertainment,2
237,DOOM Classic,32796672,4.99,3970,4.0,17+,Games,5
238,SoundCloud - Music & Audio,105009152,0.0,135744,4.0,4+,Music,7
239,imo video calls and chat,22562816,0.0,18841,4.0,4+,Social Networking,29
240,Plane Finder - Flight Tracker,52632576,3.99,1438,4.0,4+,Navigation,10
241,"Runtastic Running, Jogging and Walking Tracker",151388160,0.0,10298,4.5,4+,Health & Fitness,15
242,iFiles,47323136,0.99,1842,3.5,4+,Productivity,1
243,TeachMe: Kindergarten,59846656,1.99,2548,4.0,4+,Education,1
244,Moorhuhn Deluxe - Crazy Chicken,27807744,0.99,319,3.0,12+,Games,5
245,Victoria’s Secret – The Sexiest Bras & Lingerie,60976128,0.0,34507,3.5,12+,Shopping,1
246,MONOPOLY Game,194386944,0.99,26482,3.5,4+,Games,6
247,n-tv Nachrichten,49470464,0.0,273,3.0,12+,News,1
248,Shazam Encore,147118080,2.99,8331,4.0,12+,Music,15
249,Harry Potter: Spells,125411328,0.99,17023,4.0,4+,Games,1
250,First Words Deluxe,63316992,4.99,1101,4.0,4+,Games,1
251,Clay Hunt,15313920,0.99,1193,4.0,17+,Games,1
252,Dream Team - be your own fantasy football manager,69816320,0.0,35,2.5,17+,Sports,1
253,Jet Car Stunts,32848910,1.99,4088,4.0,4+,Games,1
254,Call of Duty: Zombies,52821364,4.99,63943,4.0,17+,Games,1
255,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146507776,0.0,70286,3.0,4+,Shopping,1
256,AirWatch Agent,24747008,0.0,1150,2.5,4+,Business,19
257,Shop Savvy Barcode Scanner - Price Compare & Deals,89517056,0.0,54630,2.5,4+,Shopping,1
258,Voice Changer Plus,40722432,0.0,98777,3.0,4+,Entertainment,12
259,CatPaint,73332736,0.99,649,4.0,4+,Photo & Video,1
260,Redbox,83906560,0.0,60236,3.0,12+,Entertainment,1
261,クックパッド - No.1料理レシピ検索アプリ,76644352,0.0,115,3.5,4+,Food & Drink,1
262,Trenches,37340259,0.99,26732,4.0,17+,Games,1
263,The Christmas List,26137600,1.99,2722,4.5,4+,Shopping,1
264,Macy's,107816960,0.0,11013,3.5,4+,Shopping,1
265,Calorie Counter & Diet Tracker by MyFitnessPal,152700928,0.0,507706,4.5,4+,Health & Fitness,19
266,BlaBlaCar - Trusted Carpooling,112024576,0.0,397,4.5,4+,Travel,16
267,Refills Calendar - Scheduler - Note,35864576,9.99,196,4.0,4+,Productivity,2
268,5-0 Radio Pro Police Scanner (Extra Feeds),49594368,3.99,24553,4.0,9+,News,26
269,Hipstamatic,114081792,2.99,12557,3.5,4+,Photo & Video,15
270,Sing Karaoke Songs Unlimited with StarMaker,91267072,0.0,26227,4.0,9+,Music,14
271,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,8821760,4.99,28388,5.0,4+,Business,9
272,Positivity with Andrew Johnson,69513216,2.99,282,4.0,4+,Health & Fitness,1
273,Rat On A Scooter XL,7767040,0.99,19296,4.0,4+,Games,1
274,IMDb Movies & TV - Trailers and Showtimes,88702976,0.0,183425,4.5,12+,Entertainment,10
275,Angry Birds,175966208,0.0,824451,4.5,4+,Games,10
276,DB Navigator,84791296,0.0,512,3.5,4+,Travel,2
277,Video Calls with Santa,27997184,2.99,315,3.5,4+,Lifestyle,31
278,Voyages-sncf.com : book train and bus tickets,131463168,0.0,268,3.5,4+,Travel,6
279,The Font Game,5415000,1.99,438,4.5,4+,Games,1
280,ImmobilienScout24: Real Estate Search in Germany,126867456,0.0,187,3.5,4+,Navigation,3
281,Grand Theft Auto: Chinatown Wars,878883840,4.99,15142,4.0,17+,Games,6
282,Southwest Airlines,88773632,0.0,30552,3.0,4+,Travel,1
283,The Sims 3 World Adventures,812758016,2.99,9744,3.5,12+,Games,6
284,Star Chart,28616704,0.0,13482,4.5,4+,Education,8
285,TaxCaster – Free tax refund calculator,7111680,0.0,17516,3.5,4+,Finance,1
286,Glow Hockey 2 FREE,34056767,0.0,186653,3.5,4+,Games,1
287,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21450752,0.99,10031,4.0,4+,Entertainment,1
288,TV SPIELFILM - TV Programm mit Live TV,97879040,0.0,81,3.0,4+,Entertainment,1
289,All-in-1 Logic GameBox,22299021,0.99,9854,4.0,4+,Games,1
290,Roadside America,10231808,2.99,1093,4.0,9+,Travel,1
291,Pocket Yoga,132480000,2.99,4475,4.5,4+,Health & Fitness,2
292,Sonic the Hedgehog 2,47182848,2.99,9405,4.0,4+,Games,1
293,Simply Being - Guided Meditation for Relaxation and Presence,100048896,1.99,2417,4.5,4+,Health & Fitness,1
294,CamCard - Business card scanner & reader,174839808,0.99,2923,4.5,4+,Business,7
295,This American Life,13725696,2.99,8657,3.5,9+,Entertainment,1
296,Timetracks - Slit-Scan Camera,11369472,0.99,70,2.0,4+,Photo & Video,5
297,franceinfo - l'actualité & les élections en direct,155857920,0.0,162,4.0,17+,News,2
298,DOUBUTSU URANAI®-Animal Fortune-,38718464,0.99,5,4.0,4+,Lifestyle,2
299,Doodle Army,17879270,0.99,12354,4.0,12+,Games,1
300,Ameba,96635904,0.0,269,3.0,12+,Social Networking,1
301,eBook: War and Peace,8039424,3.99,0,0.0,9+,Book,1
302,Plants vs. Zombies,105379840,0.99,426463,5.0,9+,Games,5
303,Weibo,199585792,0.0,7265,3.5,17+,Social Networking,2
304,大众点评-发现品质生活,244516864,0.0,844,4.0,17+,Lifestyle,2
305,AlloCiné : Cinéma et Séries,123450368,0.0,101,4.0,12+,Entertainment,1
306,"Badoo - Meet New People, Chat, Socialize.",157625344,0.0,34428,4.5,17+,Social Networking,30
307,Flick Kick Field Goal,75612160,1.99,36946,4.5,4+,Games,3
308,Venmo,68153344,0.0,21090,4.5,4+,Finance,1
309,"Dungeons & Such Treasures,Collectibles and Dragons",84469760,2.99,653,4.5,12+,Games,31
310,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",100368384,3.99,1118,4.5,4+,Education,29
311,Shift Worker,7344128,1.99,348,4.0,4+,Productivity,1
312,"Spy Calc - Hide pictures, videos, documents",25097281,1.99,207,3.5,9+,Utilities,34
313,Waterlogged - Daily Hydration Tracker,43439104,0.0,5000,4.5,12+,Health & Fitness,10
314,MyNetDiary PRO - Calorie Counter and Food Diary,83851264,3.99,15188,4.5,12+,Health & Fitness,2
315,The Washington Post Classic,118980608,0.0,18572,4.5,12+,News,1
316,F-Sim Space Shuttle,76394496,4.99,6403,4.5,4+,Games,1
317,"Groupon - Deals, Coupons & Discount Shopping App",127382528,0.0,417779,4.5,12+,Shopping,10
318,Learn to Speak Spanish Fast With MosaLingua,48819200,4.99,9,5.0,12+,Education,5
319,"Coaster VR, Extreme Endless 3D Stereograph",30977024,0.99,107,2.5,4+,Entertainment,1
320,Parents Calling Easter Bunny,8073209,1.99,72,2.0,4+,Lifestyle,1
321,Sporcle,15676416,2.99,2044,3.5,9+,Games,1
322,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",81876992,0.0,16683,3.5,4+,Sports,2
323,DOOM II RPG,48700821,0.99,1455,3.0,12+,Games,1
324,STREET FIGHTER IV,581353472,4.99,15056,4.0,17+,Games,3
325,Dr. Seuss Camera - The Cat in the Hat Edition,9906176,0.99,249,4.5,4+,Photo & Video,1
326,FINAL FANTASY,114843648,7.99,6091,4.0,9+,Games,8
327,FINAL FANTASY II,199450624,7.99,2754,4.0,9+,Games,6
328,Worms 2: Armageddon,529755136,4.99,9870,4.5,12+,Games,1
329,SoundHound Song Search & Music Player,70516736,0.0,82602,4.0,9+,Music,23
330,Jourist Weltübersetzer,147066880,7.99,0,0.0,4+,Travel,1
331,TeachMe: 1st Grade,90241024,1.99,762,4.0,4+,Education,1
332,TeachMe: 3rd Grade,174268416,1.99,160,4.0,4+,Education,1
333,ヤフオク! 利用者数NO.1のオークション、フリマアプリ,187040768,0.0,9,3.0,17+,Shopping,1
334,Kik,151864320,0.0,260965,4.0,12+,Social Networking,14
335,Slow Shutter Cam,4466688,1.99,2305,4.0,4+,Photo & Video,4
336,PeakFinder Earth,35478528,4.99,137,4.0,4+,Travel,10
337,AgingBooth,31869952,0.0,11999,4.0,4+,Entertainment,1
338,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",21771264,1.99,1995,4.5,12+,Photo & Video,14
339,Tabs & Chords by Ultimate Guitar - learn and play,103049216,2.99,35045,4.5,4+,Music,6
340,"Dude, your car!",40586240,0.99,343,4.0,4+,Entertainment,30
341,Drawing Pad,220397568,1.99,1824,4.0,4+,Entertainment,22
342,ESPN Tournament Challenge,69057536,0.0,39642,4.0,4+,Sports,1
343,Solitaire,101943296,0.0,679055,4.5,4+,Games,11
344,Notability,122235904,9.99,17594,4.0,4+,Productivity,14
345,Rubik's® Cube,151954432,1.99,3531,4.0,4+,Games,1
346,Super Why! Power to Read,138047488,3.99,1080,3.5,4+,Education,1
347,Amex Mobile,105982976,0.0,11421,4.0,4+,Finance,1
348,Fruit Ninja Classic,104590336,1.99,698516,4.5,4+,Games,13
349,Animation Creator HD,32051200,3.99,4497,4.0,12+,Entertainment,1
